	final_prompt
511	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It is only by ignoring the imperatives of moral law that we cannot choose freely.
English human reference: It is only the ignoring of the imperatives of moral law that we cannot choose freely .

Score: |im_end|>
<|im_start|>assistant
"
512	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: I will begin and Alma worry about Mare, but I will be surprised.
English human reference: Allan and Alma are worried about Mare , but get a surprise .

Score: |im_end|>
<|im_start|>assistant
"
513	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The European Union decided to freeze Hungary's financial resources for 2013, with a total budget of EUR 495 million due to a severe deficit.
English human reference: The European Union decided to freeze Hungary 's financial allocations for 2013 , in a total amount of EUR 495 million , due to a severe budget deficit .

Score: |im_end|>
<|im_start|>assistant
"
514	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It will also contain the idea of an appropriate or the best starting point and the best method for solving problems.
English human reference: It will also provide substance for the idea of an appropriate or the best starting point and the best method for solving problems .

Score: |im_end|>
<|im_start|>assistant
"
515	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Committee on Culture of the Estonian National Broadcasting Council was appointed as new members of Pope vo Nygese, Age Nodelepa and Mart Ludo.
English human reference: The Committee on Culture of the XII Riigikogu appointed Paavi Nõgene , Agu Uudelepp and Mart Luikas as the new members of the Estonian Broadcasting Council .

Score: |im_end|>
<|im_start|>assistant
"
516	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It seems that religion in the gods is based on the wishes and hopes of the people, especially those relating to self-preservation.
English human reference: It seems that the faith in gods is based on human desires and hopes , especially those relating to self-preservation .

Score: |im_end|>
<|im_start|>assistant
"
517	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It was explained to me that every camera fired 36 major explosives poisoning, and in just a few minutes.
English human reference: It was explained to me that every cannon fired 36 highly explosive shells , and this just in a few minutes .

Score: |im_end|>
<|im_start|>assistant
"
518	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to Mr Kender, his text should have been read out to the Court by a professional, such as the actor Ulfsak.
English human reference: According to Kaur Kender , his text should have been read out in the court by a professional , for example , the actor Juhan Ulfsak .

Score: |im_end|>
<|im_start|>assistant
"
519	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The decision should make it difficult to establish Nord Stream 2 of the gas route, which would increase the European Union's dependence on gas supplied by Russia.
English human reference: The decision should make it difficult to establish the Nord Stream 2 gas pipeline , which would increase the European Union 's dependence on gas supplied by Russia .

Score: |im_end|>
<|im_start|>assistant
"
520	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Davis was released from custody on 8 September, provided that he did not prevent his deputies from issuing same-sex couples.
English human reference: Davis was released from custody on 8 September , provided that he did not prevent his deputies from issuing marriage certificates to same-sex couples .

Score: |im_end|>
<|im_start|>assistant
"
521	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Zambia on progress through revolutions
English human reference: Kuhn 's ambivalence with regard to progress through revolutions

Score: |im_end|>
<|im_start|>assistant
"
522	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In general, however, it is not because anyone is loved for their valuable qualities that they love their qualities, not for their own qualities.
English human reference: In general , however , the fact that someone is loved for their valuable qualities does not mean that it is their qualities that are loved , not the person .

Score: |im_end|>
<|im_start|>assistant
"
523	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The scientist starts where the textbook ends and focuses on the most subservient and esoteric issues.
English human reference: The scientist starts where the textbook ends and focuses on the most subtle and esoteric issues .

Score: |im_end|>
<|im_start|>assistant
"
524	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Growth was 0.8% in 1999, 2.7% in 2000 and 1.3% in 2001.
English human reference: Economic growth was 0.8 % in 1999 , 2.7 % in 2000 and 1.3 % in 2001 .

Score: |im_end|>
<|im_start|>assistant
"
525	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: On the morning of 28 July, the thirty attacks on the protection of the Grenaderfist in the eastern camera had been carried out by 450 men from 47 rhysiements I.
English human reference: On the morning of 28 July , of the 450 men of the 1st battalion of the 47th regiment who had gone on the attack , only 30 were still defending the eastern trench of the Grenadier Hill .

Score: |im_end|>
<|im_start|>assistant
"
526	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: As Platon's' Phaidros' states at the end, words do not have wisdom in themselves.
English human reference: As Plato states at the end of ' Phaidros ' , words do not have wisdom in themselves .

Score: |im_end|>
<|im_start|>assistant
"
527	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: An impartial view may also be used to show that one ethical approach is preferable to another.
English human reference: An impartial view may also be used to show that one ethical approach is preferable to another .

Score: |im_end|>
<|im_start|>assistant
"
528	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the United States, Governor Dannel Malloy of Connecticut State signed the law abolishing the death penalty in the State.
English human reference: In the United States , Governor Dannel Malloy of Connecticut State signed the law abolishing the death penalty in the State .

Score: |im_end|>
<|im_start|>assistant
"
529	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the final version, he deleted them, but he still believed that his theory could be reconciled with some versions of the Newton mechanical world picture.
English human reference: He omitted them from the final version , but he still believed that his theory could be reconciled with some versions of Newton 's mechanical world model .

Score: |im_end|>
<|im_start|>assistant
"
530	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Russia treated the incident as a provocation of Turkey and, in this connection, launched a Turkish military office.
English human reference: Russia treated the incident as a provocation of Turkey and , in this connection , summoned the Turkish military attache .

Score: |im_end|>
<|im_start|>assistant
"
531	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Can we get to the root of an ethical life on the basis of a minimum set of actions, wishes or structure of belief?
English human reference: Can we get to the root of an ethical life on the basis of a minimum structure of action , desire or belief ?

Score: |im_end|>
<|im_start|>assistant
"
532	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: On 15 April, when the method was reformed, it was sent from the Mesengevage Rountain of Hirschberg to 15 km from the Schönau base.
English human reference: On 15 April , when the division had been reformed , it was sent to the foot of the Riesengebirge Mountains in the Schönau district , 15 km from Hirschberg .

Score: |im_end|>
<|im_start|>assistant
"
533	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The climate in the Tobago is a little hunting, but to a large extent the climate in Trinidad is similar.
English human reference: The climate in the Tobagois slightly cooler , but largely similar to that of Trinidad .

Score: |im_end|>
<|im_start|>assistant
"
534	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: One of the first things that Mortimer did when he came to England was the release of the prisoners held.
English human reference: One of the first things that Mortimer did when he came to England was the release of the prisoners heldin the Tower .

Score: |im_end|>
<|im_start|>assistant
"
535	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: At the same time, at the request of the Fleets, the Bishop made it easier to tax their duty in exchange for the promise to participate in the fight against bakery.
English human reference: At the same time , at the request of the Livonians , the Bishop eased their tax burden in exchange for the promise to participate faithfully in the fight against heathens .

Score: |im_end|>
<|im_start|>assistant
"
536	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This is why these terms can be called relatively historic.
English human reference: This is why these concepts can be called relatively historical .

Score: |im_end|>
<|im_start|>assistant
"
537	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Ursula will find out that someone has extracted Torim and will find out who it could be.
English human reference: Ursula finds out that someone has snitched on Torim and she has an idea of who it could have been .

Score: |im_end|>
<|im_start|>assistant
"
538	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The refusal and demands of Zygmunt only increased chaos because the Swedes offered their candidacy and took over Velik Novgorod.
English human reference: The refusal and demands of Zygmunt only increased chaos because the Swedes offered their candidate and took over Velik Novgorod .

Score: |im_end|>
<|im_start|>assistant
"
539	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Anastasius I stood out as the guardian of the energy reforms and the ruler.
English human reference: Anastasius I was notable as an energetic reformer and ruler .

Score: |im_end|>
<|im_start|>assistant
"
540	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Kant says that these two criteria will inevitably coincide, so every priori truth is the universal truth.
English human reference: Kant says that these two criteria will inevitably coincide , so that every a priori truth is a universal truth .

Score: |im_end|>
<|im_start|>assistant
"
541	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A rational player cannot simply be understood by a third-party man whose behaviour must be explained by beliefs and wishes.
English human reference: A rational actor cannot simply be understood as a third-party being whose behaviour must be explained by beliefs and wishes .

Score: |im_end|>
<|im_start|>assistant
"
542	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: There is support for the idea that the treatment of each disease must be viewed separately from the debate on the ground by means of rapid transport treatment.
English human reference: There is support for the idea that the treatment of each disease must be viewed separately in the debate of fast transport versus treatment on site .

Score: |im_end|>
<|im_start|>assistant
"
543	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Darwinian family has been produced up to 1500s.
English human reference: The Darwinian family tree has been produced up to 1500s .

Score: |im_end|>
<|im_start|>assistant
"
544	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The central issue is which of which theory benefits more in terms of research.
English human reference: The central issue is which of the theories is more beneficial in terms of research .

Score: |im_end|>
<|im_start|>assistant
"
545	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Portugal's history of history is part of the early history of the Iberian Peninsula as a whole.
English human reference: Portugal 's pre-history is part of the early history of the Iberian Peninsula as a whole .

Score: |im_end|>
<|im_start|>assistant
"
546	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A figure who would stress that everyone, including their loved ones, should be treated in an unpersonal and unentangled manner would be repellent.
English human reference: A lover who would stress that everyone , including their loved one , should be treated in an unpersonal and impassionate manner , would be repulsive .

Score: |im_end|>
<|im_start|>assistant
"
547	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: There is very good soil under these former coastal regions.
English human reference: There are very good soils under these former coastal regions .

Score: |im_end|>
<|im_start|>assistant
"
548	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Out of 42, the Bolsheans themselves got 15, while 4 sites on the town of Podolski were filed by the Bolshevs 3.
English human reference: Out of 42 places , the Bolsheviks got 15 , while out of the 4 places intended for the city of Podolsk , the Bolsheviks got 3 places .

Score: |im_end|>
<|im_start|>assistant
"
549	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Five hundred and fifty flights were cancelled because of the strike.
English human reference: Five hundred and fifty flights were cancelled by the company because of the strike .

Score: |im_end|>
<|im_start|>assistant
"
550	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Since then, gas exploration was accelerated, especially under the hands of Henry Cavendish, Joseph Priestley and Carl Wilhelm Scheele.
English human reference: Since then , gas exploration was accelerated , especially under Henry Cavendish , Joseph Priestley and Carl Wilhelm Scheele .

Score: |im_end|>
<|im_start|>assistant
"
551	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Fausists mistrusted the ideas of Hitler's banking ermanism, which they considered to be a threat to Italian territories that had previously been part of the Austrian Emperor.
English human reference: The Fascists mistrusted Hitler 's ideas of Pan-Germanism , which they considered to be a threat to Italian territories that had previously been part of the Austrian Empire .

Score: |im_end|>
<|im_start|>assistant
"
552	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: That is why religious hatred often tries to find new evidence, for example, by trying something like an unfair strategy of recognition, but it is self-deceptive.
English human reference: That is why evil haters often try to find new evidence , for example , by trying something like an unfair strategy of recognition , but it is self-deceptive .

Score: |im_end|>
<|im_start|>assistant
"
553	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the third round, the only remaining businessman to stand as a candidate for the elections was Adarmad mad mad mad ītīq, who was also imprisoned on the same day.
English human reference: In the third round , the election was won by the only remaining candidate , the businessmann Ahmad Ma ´ ītīq , who was sworn into office on the same day .

Score: |im_end|>
<|im_start|>assistant
"
554	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Water cannons and tear gas were used to ward off people.
English human reference: Water cannons and tear gas were used to ward off people .

Score: |im_end|>
<|im_start|>assistant
"
555	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: An entirely ethical theory is not the only spiritual surroundings of these ideas.
English human reference: Abstract ethical theory is not the only spiritual context of these ideas .

Score: |im_end|>
<|im_start|>assistant
"
556	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: That is why he sees a measurable person who sets a sword on everything that is hoped for as a measure of all things.
English human reference: That is why he sees the measuring human being who gives a measure to all creation as a measure of all things .

Score: |im_end|>
<|im_start|>assistant
"
557	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Twenty-seven people died and five were injured.
English human reference: Twenty-seven people died and five were injured in the accident .

Score: |im_end|>
<|im_start|>assistant
"
558	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In Hong Kong, China, the police empty the protesters calling for democratic elections in the Mong Koki region.
English human reference: In Hong Kong , China , police cleared the Mong Kok area of protesters calling for democratic elections .

Score: |im_end|>
<|im_start|>assistant
"
559	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In Yemen, a seven-day ceasefire came into force between the military coalition led by Saudi Arabia and the Shi'ite rebels.
English human reference: In Yemen , a seven-day ceasefire came into force between the military coalition led by Saudi Arabia and Shiite rebels .

Score: |im_end|>
<|im_start|>assistant
"
560	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: If we are in this situation, we would be happy with this, but not looking ahead.
English human reference: If we were in this situation , we would be happy with this , but not if we 'd be looking ahead .

Score: |im_end|>
<|im_start|>assistant
"
561	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Nobody was injured in the accident, but about two hundred tonnes of oil fell into the sea.
English human reference: Nobody was injured in the accident , but about two hundred tonnes of oil flowed into the sea .

Score: |im_end|>
<|im_start|>assistant
"
562	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The goods are imported mainly from Australia, mainly from Nauru, which has relied on throughout its entire period of independence.
English human reference: Goods are imported mainly from Australia , on which Nauru has mainly relied throughout its period of independence .

Score: |im_end|>
<|im_start|>assistant
"
563	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Consequently, there must be some objective that is not wanted on behalf of the other.
English human reference: Consequently , there must be some objective that is not wanted on behalf of the other .

Score: |im_end|>
<|im_start|>assistant
"
564	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: You cannot believe that Pilate is so attached to her.
English human reference: Evald cannot believe that Pille is so attached to her .

Score: |im_end|>
<|im_start|>assistant
"
565	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The attention and active valuation that Jollimore talks about must be attributed to the value of most philosophers.
English human reference: Most philosophers think that the attention and active valuation that Jollimore talks about refer to the attribution of value .

Score: |im_end|>
<|im_start|>assistant
"
566	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to the Red Cross representative, Russia's move came as a surprise to them.
English human reference: According to a Red Cross representative , Russia 's move came as a surprise to them .

Score: |im_end|>
<|im_start|>assistant
"
567	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Pope respects Islam but does not recognise religion that promotes violence.
English human reference: Pope respects Islam but does not recognise religion that promotes violence .

Score: |im_end|>
<|im_start|>assistant
"
568	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Although Darwin did not see any real danger at Wales, he nevertheless began to write a brief article on the subject.
English human reference: Although Darwin did not see any real threat in Wallace , he nevertheless began to write a brief article on the subject .

Score: |im_end|>
<|im_start|>assistant
"
569	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A woman said that Hitler made him a murderer, and that is why he hates Hitler the most.
English human reference: The woman said that Hitler made her a murderer , and that is why she hates Hitler the most .

Score: |im_end|>
<|im_start|>assistant
"
570	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A third-type operation creates the cause, the aim being the preparation of the matter.
English human reference: The third-type operation creates a thing , the aim is the thing being prepared .

Score: |im_end|>
<|im_start|>assistant
"
571	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In practice, the modulation of hybrid gases will work as follows:
English human reference: In practice , the redirection of brigades takes place as follows :

Score: |im_end|>
<|im_start|>assistant
"
572	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Ambassador Andres Tomasberg and representatives of the Ministry of Foreign Affairs Jaanus Kirikmäe and Priit Pallum participated in the opening of the conflict.
English human reference: Ambassador Andres Tomasberg and representatives of the Ministry of Foreign Affairs , Jaanus Kirikmäe and Priit Pallum , participated in the opening of the consulate .

Score: |im_end|>
<|im_start|>assistant
"
573	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The jewels also took a great deal of interest and have been public since 1669.
English human reference: The crown jewels also attracted a great deal of interest and have been displayed to the public since 1669 .

Score: |im_end|>
<|im_start|>assistant
"
574	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This time in an appeal, the Pope called on the hostilities to end the conflict in Syria and expressed concerns about the situation in Mali and Nigeria.
English human reference: In this message , the Pope called on the militant parties to end the conflict in Syria and expressed concerns about the situation in Mali and Nigeria .

Score: |im_end|>
<|im_start|>assistant
"
575	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It is therefore convenient to expect a fiction that it will deal with some specific objects with only mathematical properties.
English human reference: Therefore , it is convenient for fiction to assume that it deals with some special objects wtih only mathematical properties .

Score: |im_end|>
<|im_start|>assistant
"
576	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to Flunkeli, teaching was shown to be of geostrategic importance in Herakleito.
English human reference: According to Fränkel , it was Heraclitus who presented the teaching of the importance of a geometric sequence .

Score: |im_end|>
<|im_start|>assistant
"
577	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The final Karlowitz peace ended in 1699 wars of the Holy League with the Osman state.
English human reference: The final Karlowitz peace ended in 1699 the wars of the Holy League with the Ottoman state .

Score: |im_end|>
<|im_start|>assistant
"
578	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Public Prosecutor's Office offered Kender a choice, or an agreement procedure.
English human reference: The Public Prosecutor 's Office offered Kender an opportunity , that is , a compromise procedure .

Score: |im_end|>
<|im_start|>assistant
"
579	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: He later realised that Rhodisi's representatives had deceived him and tried to withdraw from the Treaty.
English human reference: He later realised that Rhodes ' representatives had deceived him and tried to withdraw from the Treaty .

Score: |im_end|>
<|im_start|>assistant
"
580	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The most enthusiastic and talented magistrates are being expelled from the philosophy by saying that philosophy is not a joke.
English human reference: The most enthusiastic and talented master 's students are being expelled from philosophy by saying that philosophy is not a joke .

Score: |im_end|>
<|im_start|>assistant
"
581	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A Soomusrong Rübig served six years on a Finnish train, Kapten Irv.
English human reference: Armored Train Regiment , where Captain Irv served for six years on the armored train .

Score: |im_end|>
<|im_start|>assistant
"
582	"<|im_start|>user
Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It is assumed that either the wall or the main valley of the urban environment were the first to be prepared.
English human reference: It is assumed that either the ring wall of the fortress or the main tower were completed first .

Score: |im_end|>
<|im_start|>assistant
"
